ir,rmp,tau,amp,hw,thresh,Species,Strain,ElectrodeType,PrepType,JxnPotential,JxnOffset,Temp,Age,Weight,NeuronType,Title,PubYear,DataTableLinks,MetadataLink,LastAuthor
nan,nan,nan,nan,0.92,nan,Rats,Wistar,Patch-clamp,in vitro,Not corrected,NaN,30,23.5,NaN,Cerebellum granule cell,Ionic mechanism of electroresponsiveness in cerebellar granule cells implicates the action of a persistent sodium current.,1998,http://neuroelectro.org/data_table/1290/,http://neuroelectro.org/article/5497/metadata/,Taglietti V
nan,-92.5,nan,nan,0.67,-42.4,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,21.5,70,NaN,Cerebellum granule cell,Persistent Nav1.6 current at axon initial segments tunes spike timing of cerebellar granule cells.,2010,http://neuroelectro.org/data_table/7834/,http://neuroelectro.org/article/5731/metadata/,Delmas P
1530,-69.4,nan,nan,nan,-49.6,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,22,225,NaN,Cerebellum granule cell,Fibroblast growth factor homologous factors control neuronal excitability through modulation of voltage-gated sodium channels.,2007,http://neuroelectro.org/data_table/21275/,http://neuroelectro.org/article/11498/metadata/,D'Angelo E
nan,-60.7,nan,nan,1.2,-42.7,Mice,C57BL,Patch-clamp,in vitro,,NaN,32,19.5,NaN,Cerebellum granule cell,Altered neuron excitability and synaptic plasticity in the cerebellar granular layer of juvenile prion protein knock-out mice with impaired motor control.,2008,http://neuroelectro.org/data_table/2049/,http://neuroelectro.org/article/35862/metadata/,D'Angelo E
2300,-64.8,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,22,23,NaN,Cerebellum granule cell,Altered neuronal excitability in cerebellar granule cells of mice lacking calretinin.,2003,http://neuroelectro.org/data_table/2695/,http://neuroelectro.org/article/36919/metadata/,Schiffmann SN
1080,-77,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,cell culture,,NaN,22,56,NaN,Cerebellum granule cell,Impaired cerebellar long-term potentiation in type I adenylyl cyclase mutant mice.,1998,http://neuroelectro.org/data_table/21965/,http://neuroelectro.org/article/79142/metadata/,Linden DJ
nan,nan,nan,nan,0.42,nan,Mice,C57BL,Patch-clamp,in vitro,Not corrected,NaN,33,18.5,NaN,Cerebellum Purkinje cell,The leaner P/Q-type calcium channel mutation renders cerebellar Purkinje neurons hyper-excitable and eliminates Ca2+-Na+ spike bursts.,2008,http://neuroelectro.org/data_table/17398/,http://neuroelectro.org/article/5177/metadata/,Friel DD
140,-58.55,nan,nan,0.25,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,22.5,21,NaN,Cerebellum Purkinje cell,Aminopyridines correct early dysfunction and delay neurodegeneration in a mouse model of spinocerebellar ataxia type 1.,2011,http://neuroelectro.org/data_table/1575/,http://neuroelectro.org/article/9102/metadata/,Schiffmann SN
23.3,nan,nan,nan,0.15,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,35,135,NaN,Cerebellum Purkinje cell,Purkinje-cell-restricted restoration of Kv3.3 function restores complex spikes and rescues motor coordination in Kcnc3 mutants.,2008,http://neuroelectro.org/data_table/2069/,http://neuroelectro.org/article/9763/metadata/,Joho RH
nan,nan,nan,nan,0.41,-53,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,23,15,NaN,Cerebellum Purkinje cell,Robustness of burst firing in dissociated purkinje neurons with acute or long-term reductions in sodium conductance.,2005,http://neuroelectro.org/data_table/2484/,http://neuroelectro.org/article/9921/metadata/,Bean BP
