ir,rmp,tau,amp,hw,thresh,Species,Strain,ElectrodeType,PrepType,JxnPotential,JxnOffset,Temp,Age,Weight,NeuronType,Title,PubYear,DataTableLinks,MetadataLink,LastAuthor
nan,-51.6,nan,89.3,nan,nan,Rats,Wistar,Patch-clamp,cell culture,,NaN,25,48.5,200,Dorsal root ganglion cell,A cold- and menthol-activated current in rat dorsal root ganglion neurones: properties and role in cold transduction.,2002,http://neuroelectro.org/data_table/7899/,http://neuroelectro.org/article/8919/metadata/,Pluteanu F
nan,-53.5,nan,nan,nan,-21.4,Rats,Sprague-Dawley,Patch-clamp,cell culture,,NaN,21,46,175,Dorsal root ganglion cell,Increased excitability of afferent neurons innervating rat urinary bladder after chronic bladder inflammation.,1999,http://neuroelectro.org/data_table/3276/,http://neuroelectro.org/article/29751/metadata/,de Groat WC
604.5,-56,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,22,31,100,Dorsal root ganglion cell,"Subclassified acutely dissociated cells of rat DRG: histochemistry and patterns of capsaicin-, proton-, and ATP-activated currents.",2000,http://neuroelectro.org/data_table/1073/,http://neuroelectro.org/article/30789/metadata/,Cooper BY
nan,nan,nan,113.2,nan,-11.6,Rats,Sprague-Dawley,Patch-clamp,cell culture,Corrected,NaN,23.5,NaN,NaN,Dorsal root ganglion cell,Capsaicin inhibits activation of voltage-gated sodium currents in capsaicin-sensitive trigeminal ganglion neurons.,2001,http://neuroelectro.org/data_table/1025/,http://neuroelectro.org/article/34580/metadata/,Simon SA
nan,nan,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,cell culture,,NaN,23,49.5,27,Dorsal root ganglion cell,Subthreshold oscillations induced by spinal nerve injury in dissociated muscle and cutaneous afferents of mouse DRG.,2002,http://neuroelectro.org/data_table/11664/,http://neuroelectro.org/article/55445/metadata/,Kocsis JD
nan,-53,nan,93.2,nan,nan,Rats,Wistar,Patch-clamp,cell culture,,NaN,25,48.5,200,DRG temperature cell,A cold- and menthol-activated current in rat dorsal root ganglion neurones: properties and role in cold transduction.,2002,http://neuroelectro.org/data_table/7899/,http://neuroelectro.org/article/8919/metadata/,Pluteanu F
424,-60,nan,90,0.82,nan,Mice,C57BL,Patch-clamp,cell culture,,NaN,34,45,NaN,DRG temperature cell,Characteristics and physiological role of hyperpolarization activated currents in mouse cold thermoreceptors.,2009,http://neuroelectro.org/data_table/10567/,http://neuroelectro.org/article/44519/metadata/,Viana F
44,-60,nan,nan,nan,nan,Rats,Sprague-Dawley,Sharp,in vitro,,NaN,37,60,NaN,Entorhinal cortex layer IV neuron,Responses of deep entorhinal cortex are epileptiform in an electrogenic rat model of chronic temporal lobe epilepsy.,1998,http://neuroelectro.org/data_table/1297/,http://neuroelectro.org/article/27974/metadata/,Lothman EW
70,-65,14,65,nan,-44,Guinea Pigs,Guinea Pigs,Sharp,in vitro,,NaN,33,80.5,NaN,Globus pallidus principal cell,Electrophysiology of globus pallidus neurons in vitro.,1994,,http://neuroelectro.org/article/32143/metadata/,Llinás R
558.9,-66.3,25.4,73.6,nan,-42.1,Rats,Wistar,Patch-clamp,in vitro,Corrected,NaN,33,30,100,Globus pallidus principal cell,Electrophysiological and morphological characteristics of three subtypes of rat globus pallidus neurone in vitro.,2000,http://neuroelectro.org/data_table/11103/,http://neuroelectro.org/article/45763/metadata/,Stanford IM
110,-63,12,nan,0.4,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,32,12,NaN,Hippocampus CA1 basket cell,Transition to seizures in the isolated immature mouse hippocampus: a switch from dominant phasic inhibition to dominant phasic excitation.,2008,http://neuroelectro.org/data_table/8047/,http://neuroelectro.org/article/11195/metadata/,Carlen PL
142.5,nan,10.35,nan,nan,nan,Rats,Wistar,Patch-clamp,in vitro,Not corrected,NaN,35.5,20,NaN,Hippocampus CA1 basket cell,Differences in subthreshold resonance of hippocampal pyramidal cells and interneurons: the role of h-current and passive membrane characteristics.,2010,http://neuroelectro.org/data_table/8283/,http://neuroelectro.org/article/27366/metadata/,Hájos N
96.9,-66.2,nan,nan,nan,-55.4,Guinea Pigs,Guinea Pigs,Sharp,in vitro,,NaN,30,21,175,Hippocampus CA1 basket cell,Temporal overlap of excitatory and inhibitory afferent input in guinea-pig CA1 pyramidal cells.,1999,http://neuroelectro.org/data_table/8497/,http://neuroelectro.org/article/33579/metadata/,Stelzer A
70.6,-60,nan,nan,0.67,nan,Rats,Wistar,Sharp,in vitro,,NaN,34.5,50,150,Hippocampus CA1 basket cell,Unitary IPSPs evoked by interneurons at the stratum radiatum-stratum lacunosum-moleculare border in the CA1 area of the rat hippocampus in vitro.,1998,http://neuroelectro.org/data_table/10082/,http://neuroelectro.org/article/43072/metadata/,Buhl EH
284,-59.8,13.3,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,32,28,NaN,Hippocampus CA1 basket cell,NMDA receptor-dependent long-term potentiation in mouse hippocampal interneurons shows a unique dependence on Ca(2+)/calmodulin-dependent kinases.,2007,http://neuroelectro.org/data_table/11371/,http://neuroelectro.org/article/46287/metadata/,Kullmann DM
185,-63,19,56,0.8,-33,Mice,C57BL,Patch-clamp,in vitro,Not corrected,NaN,33,17.5,NaN,Hippocampus CA1 ivy neuron,Common origins of hippocampal Ivy and nitric oxide synthase expressing neurogliaform cells.,2010,http://neuroelectro.org/data_table/1838/,http://neuroelectro.org/article/35516/metadata/,McBain CJ
239.5,-63.5,15,57.5,0.83,-30.5,Mice,C57BL,Patch-clamp,in vitro,Not corrected,NaN,33,17.5,NaN,Hippocampus CA1 neurogliaform cell,Common origins of hippocampal Ivy and nitric oxide synthase expressing neurogliaform cells.,2010,http://neuroelectro.org/data_table/1838/,http://neuroelectro.org/article/35516/metadata/,McBain CJ
74.7,-58.3,nan,nan,0.8,nan,Rats,Wistar,Sharp,in vitro,,NaN,34.5,50,150,Hippocampus CA1 neurogliaform cell,Unitary IPSPs evoked by interneurons at the stratum radiatum-stratum lacunosum-moleculare border in the CA1 area of the rat hippocampus in vitro.,1998,http://neuroelectro.org/data_table/10082/,http://neuroelectro.org/article/43072/metadata/,Buhl EH
267,-62,32,nan,0.8,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,32,12,NaN,Hippocampus CA1 oriens lacunosum moleculare neuron,Transition to seizures in the isolated immature mouse hippocampus: a switch from dominant phasic inhibition to dominant phasic excitation.,2008,http://neuroelectro.org/data_table/8047/,http://neuroelectro.org/article/11195/metadata/,Carlen PL
200.5,nan,39.6,nan,nan,nan,Rats,Wistar,Patch-clamp,in vitro,Not corrected,NaN,35.5,20,NaN,Hippocampus CA1 oriens lacunosum moleculare neuron,Differences in subthreshold resonance of hippocampal pyramidal cells and interneurons: the role of h-current and passive membrane characteristics.,2010,http://neuroelectro.org/data_table/8283/,http://neuroelectro.org/article/27366/metadata/,Hájos N
111,nan,nan,82.6,nan,-37.9,Rats,Wistar,Patch-clamp,cell culture,,NaN,22,6,NaN,Hippocampus CA1 pyramidal cell,Hyperexcitability of distal dendrites in hippocampal pyramidal cells after chronic partial deafferentation.,2007,http://neuroelectro.org/data_table/2248/,http://neuroelectro.org/article/4321/metadata/,Tang CM
111,-60.1,nan,nan,1.52,-46.2,Mice,C57BL,Patch-clamp,in vitro,,NaN,22,70,NaN,Hippocampus CA1 pyramidal cell,A spontaneous mutation involving Kcnq2 (Kv7.2) reduces M-current density and spike frequency adaptation in mouse CA1 neurons.,2006,http://neuroelectro.org/data_table/2379/,http://neuroelectro.org/article/5686/metadata/,Wilcox KS
35.4,-69.9,nan,92,0.83,-58.9,Rats,Wistar,Sharp,in vitro,,NaN,33.5,44.5,175,Hippocampus CA1 pyramidal cell,KCNQ/M channels control spike afterdepolarization and burst generation in hippocampal neurons.,2004,http://neuroelectro.org/data_table/2607/,http://neuroelectro.org/article/5989/metadata/,Yaari Y
237.8,-61.7,29.2,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,Not corrected,14,22,70,NaN,Hippocampus CA1 pyramidal cell,Alterations in intrinsic membrane properties and the axon initial segment in a mouse model of Angelman syndrome.,2011,http://neuroelectro.org/data_table/1514/,http://neuroelectro.org/article/9075/metadata/,Klann E
55.4,-66.2,40.3,112,0.95,-46.3,Rats,Wistar,Patch-clamp,in vitro,Corrected,NaN,35,38.5,NaN,Hippocampus CA1 pyramidal cell,Resting and active properties of pyramidal neurons in subiculum and CA1 of rat hippocampus.,2000,"http://neuroelectro.org/data_table/1064/, http://neuroelectro.org/data_table/1065/",http://neuroelectro.org/article/10775/metadata/,Spruston N
260,-68,40,nan,0.9,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,32,12,NaN,Hippocampus CA1 pyramidal cell,Transition to seizures in the isolated immature mouse hippocampus: a switch from dominant phasic inhibition to dominant phasic excitation.,2008,http://neuroelectro.org/data_table/8047/,http://neuroelectro.org/article/11195/metadata/,Carlen PL
36.1,-68.5,nan,93.55,0.76,-57.05,Rats,Sprague-Dawley,Sharp,in vitro,Corrected,NaN,33.5,44.5,150,Hippocampus CA1 pyramidal cell,Proximal persistent Na+ channels drive spike afterdepolarizations and associated bursting in adult CA1 pyramidal cells.,2005,http://neuroelectro.org/data_table/2411/,http://neuroelectro.org/article/11852/metadata/,Yaari Y
28.4,-64.3,13.7,87,nan,-52.3,Rats,Wistar,Sharp,in vitro,,NaN,33.5,44.5,175,Hippocampus CA1 pyramidal cell,Extracellular calcium modulates persistent sodium current-dependent burst-firing in hippocampal pyramidal neurons.,2001,http://neuroelectro.org/data_table/3036/,http://neuroelectro.org/article/11918/metadata/,Yaari Y
45.7,-64.3,nan,90.2,nan,-53.9,Rats,Sprague-Dawley,Sharp,in vitro,,NaN,33.5,44.5,175,Hippocampus CA1 pyramidal cell,Initiation of network bursts by Ca2+-dependent intrinsic bursting in the rat pilocarpine model of temporal lobe epilepsy.,2001,http://neuroelectro.org/data_table/8144/,http://neuroelectro.org/article/14171/metadata/,Yaari Y
nan,nan,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,22,13,NaN,Hippocampus CA1 pyramidal cell,Cholinergic stimulation enhances cytosolic calcium ion accumulation in mouse hippocampal CA1 pyramidal neurones during short action potential trains.,2000,http://neuroelectro.org/data_table/8213/,http://neuroelectro.org/article/24843/metadata/,Barish ME
120.8,-65.9,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,Not corrected,-8,22,210,NaN,Hippocampus CA1 pyramidal cell,Slow afterhyperpolarization governs the development of NMDA receptor-dependent afterdepolarization in CA1 pyramidal neurons during synaptic stimulation.,2004,http://neuroelectro.org/data_table/5533/,http://neuroelectro.org/article/25371/metadata/,Disterhoft JF
108.5,nan,17.05,nan,nan,nan,Rats,Wistar,Patch-clamp,in vitro,Not corrected,NaN,35.5,20,NaN,Hippocampus CA1 pyramidal cell,Differences in subthreshold resonance of hippocampal pyramidal cells and interneurons: the role of h-current and passive membrane characteristics.,2010,http://neuroelectro.org/data_table/8283/,http://neuroelectro.org/article/27366/metadata/,Hájos N
37.75,-67.1,nan,nan,nan,-56.7,Rats,Wistar,Sharp,in vitro,,NaN,32,31.5,NaN,Hippocampus CA1 pyramidal cell,Heterogeneous firing behavior during ictal-like epileptiform activity in vitro.,2012,http://neuroelectro.org/data_table/14/,http://neuroelectro.org/article/31997/metadata/,Nedergaard S
53.85,-61.67,nan,nan,nan,nan,Rats,Fischer 344,Sharp,in vitro,,NaN,33.5,105,NaN,Hippocampus CA1 pyramidal cell,Disrupting function of FK506-binding protein 1b/12.6 induces the Ca²+-dysregulation aging phenotype in hippocampal neurons.,2011,http://neuroelectro.org/data_table/1666/,http://neuroelectro.org/article/32797/metadata/,Landfield PW
32.6,-63.1,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,22,22,NaN,Hippocampus CA1 pyramidal cell,Cholecystokinin increases GABA release by inhibiting a resting K+ conductance in hippocampal interneurons.,1997,http://neuroelectro.org/data_table/10754/,http://neuroelectro.org/article/33395/metadata/,Lupica CR
53.3,-64.5,nan,nan,nan,-53.2,Guinea Pigs,Guinea Pigs,Sharp,in vitro,,NaN,30,21,175,Hippocampus CA1 pyramidal cell,Temporal overlap of excitatory and inhibitory afferent input in guinea-pig CA1 pyramidal cells.,1999,http://neuroelectro.org/data_table/8497/,http://neuroelectro.org/article/33579/metadata/,Stelzer A
100.6,-64.8,27.9,106.8,1.6,-51.5,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,28,57.5,NaN,Hippocampus CA1 pyramidal cell,Enhanced intrinsic excitability and EPSP-spike coupling accompany enriched environment-induced facilitation of LTP in hippocampal CA1 pyramidal neurons.,2012,http://neuroelectro.org/data_table/11/,http://neuroelectro.org/article/33697/metadata/,Chattarji S
61.1,nan,nan,nan,nan,nan,Rats,Sprague-Dawley,Sharp,in vitro,,NaN,32.5,49,NaN,Hippocampus CA1 pyramidal cell,Group I mGluRs increase excitability of hippocampal CA1 pyramidal neurons by a PLC-independent mechanism.,2002,http://neuroelectro.org/data_table/912/,http://neuroelectro.org/article/34461/metadata/,Abraham WC
nan,-64.4,nan,77.3,nan,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,31,64.5,280,Hippocampus CA1 pyramidal cell,Intracellular correlates of spatial memory acquisition in hippocampal slices: long-term disinhibition of CA1 pyramidal cells.,2001,http://neuroelectro.org/data_table/985/,http://neuroelectro.org/article/34529/metadata/,Alkon DL
30.48,-72.55,nan,nan,nan,nan,Rats,Sprague-Dawley,Sharp,in vitro,,NaN,32,70.5,NaN,Hippocampus CA1 pyramidal cell,Mechanism for increased hippocampal synaptic strength following differential experience.,2001,http://neuroelectro.org/data_table/1007/,http://neuroelectro.org/article/34560/metadata/,Dumas TC
326.72,-61.38,nan,nan,nan,-48.78,Rats,Long-Evans,Patch-clamp,in vitro,,NaN,23,12.5,NaN,Hippocampus CA1 pyramidal cell,Hypoxia-induced neonatal seizures diminish silent synapses and long-term potentiation in hippocampal CA1 neurons.,2011,http://neuroelectro.org/data_table/1497/,http://neuroelectro.org/article/35011/metadata/,Jensen FE
149.8,-72.47,nan,70.94,nan,-33.81,Mice,C57BL,Patch-clamp,in vitro,,NaN,30,18,NaN,Hippocampus CA1 pyramidal cell,A functional null mutation of SCN1B in a patient with Dravet syndrome.,2009,http://neuroelectro.org/data_table/1929/,http://neuroelectro.org/article/35646/metadata/,Isom LL
55.76,-62,nan,77.37,nan,nan,Rats,Fischer 344,Sharp,in vitro,,NaN,32,120,NaN,Hippocampus CA1 pyramidal cell,Early and simultaneous emergence of multiple hippocampal biomarkers of aging is mediated by Ca2+-induced Ca2+ release.,2006,http://neuroelectro.org/data_table/2372/,http://neuroelectro.org/article/36399/metadata/,Thibault O
42.9,-62,11,77.6,0.76,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,31,63,NaN,Hippocampus CA1 pyramidal cell,Depression of synaptic transmission by vascular endothelial growth factor in adult rat hippocampus and evidence for increased efficacy after chronic seizures.,2005,http://neuroelectro.org/data_table/2430/,http://neuroelectro.org/article/36504/metadata/,Scharfman HE
143.1,-70.7,nan,nan,1.2,-50.4,Mice,C57BL,Patch-clamp,in vitro,,NaN,32,30,NaN,Hippocampus CA1 pyramidal cell,Focal deletion of the adenosine A1 receptor in adult mice using an adeno-associated viral vector.,2003,http://neuroelectro.org/data_table/2742/,http://neuroelectro.org/article/36991/metadata/,Greene RW
82.35,-58.7,nan,nan,nan,nan,Rats,Fischer 344,Patch-clamp,in vitro,,NaN,22,120,NaN,Hippocampus CA1 pyramidal cell,Elevated postsynaptic [Ca2+]i and L-type calcium channel activity in aged hippocampal neurons: relationship to impaired synaptic plasticity.,2001,"http://neuroelectro.org/data_table/2956/, http://neuroelectro.org/data_table/2957/",http://neuroelectro.org/article/37275/metadata/,Landfield PW
100,-65,39,nan,1.9,-38,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,33.5,44.5,150,Hippocampus CA1 pyramidal cell,Unique properties of NMDA receptors enhance synaptic excitation of radiatum giant cells in rat hippocampus.,2000,http://neuroelectro.org/data_table/3156/,http://neuroelectro.org/article/37497/metadata/,Yaari Y
52.3,-59.9,nan,nan,1.15,nan,Rats,Wistar,Sharp,in vitro,,NaN,34.5,50,150,Hippocampus CA1 pyramidal cell,Unitary IPSPs evoked by interneurons at the stratum radiatum-stratum lacunosum-moleculare border in the CA1 area of the rat hippocampus in vitro.,1998,http://neuroelectro.org/data_table/10082/,http://neuroelectro.org/article/43072/metadata/,Buhl EH
151,-65.6,nan,nan,nan,-49,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,31,14,NaN,Hippocampus CA1 pyramidal cell,Synaptic ionotropic glutamate receptors and plasticity are developmentally altered in the CA1 field of Fmr1 knockout mice.,2009,http://neuroelectro.org/data_table/10291/,http://neuroelectro.org/article/43596/metadata/,Seeburg PH
107,-62.8,29.8,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,32,28,NaN,Hippocampus CA1 pyramidal cell,NMDA receptor-dependent long-term potentiation in mouse hippocampal interneurons shows a unique dependence on Ca(2+)/calmodulin-dependent kinases.,2007,http://neuroelectro.org/data_table/11371/,http://neuroelectro.org/article/46287/metadata/,Kullmann DM
108,nan,61,nan,nan,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,35,25,NaN,Hippocampus CA1 pyramidal cell,Mechanisms of electrical coupling between pyramidal cells.,1997,http://neuroelectro.org/data_table/6245/,http://neuroelectro.org/article/47709/metadata/,Carlen PL
44.09,-58.28,27.64,nan,nan,-38.29,Rats,Wistar,Patch-clamp,in vitro,,NaN,22,17.5,NaN,Hippocampus CA1 pyramidal cell,Differential corticosteroid modulation of inhibitory synaptic currents in the dorsal and ventral hippocampus.,2009,"http://neuroelectro.org/data_table/12568/, http://neuroelectro.org/data_table/12569/, http://neuroelectro.org/data_table/12570/",http://neuroelectro.org/article/59872/metadata/,Segal M
82,-69,19.4,nan,nan,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,33,3.5,NaN,Hippocampus CA1 pyramidal cell,Heterogeneous populations of cells mediate spontaneous synchronous bursting in the developing hippocampus through a frequency-dependent mechanism.,2000,http://neuroelectro.org/data_table/22053/,http://neuroelectro.org/article/79240/metadata/,Sanchez-Andres JV
86,-63,50,nan,1.9,-31,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,33.5,44.5,150,Hippocampus CA1 radiatum giant cell,Unique properties of NMDA receptors enhance synaptic excitation of radiatum giant cells in rat hippocampus.,2000,http://neuroelectro.org/data_table/3156/,http://neuroelectro.org/article/37497/metadata/,Yaari Y
122.9,nan,11.2,nan,0.54,nan,Mice,C57BL,Patch-clamp,in vitro,Not corrected,NaN,29,21.5,NaN,Hippocampus CA3 basket cell,Differential involvement of oriens/pyramidale interneurones in hippocampal network oscillations in vitro.,2005,http://neuroelectro.org/data_table/10636/,http://neuroelectro.org/article/44738/metadata/,Buhl EH
315.1,nan,33.3,nan,0.84,nan,Mice,C57BL,Patch-clamp,in vitro,Not corrected,NaN,29,21.5,NaN,Hippocampus CA3 lacunosum moleculare neuron,Differential involvement of oriens/pyramidale interneurones in hippocampal network oscillations in vitro.,2005,http://neuroelectro.org/data_table/10636/,http://neuroelectro.org/article/44738/metadata/,Buhl EH
454,-57,91,85,1.7,-39,Rats,Wistar,Patch-clamp,in vitro,Not corrected,-10,22,11,NaN,Hippocampus CA3 pyramidal cell,Medium afterhyperpolarization and firing pattern modulation in interneurons of stratum radiatum in the CA3 hippocampal region.,2001,http://neuroelectro.org/data_table/1004/,http://neuroelectro.org/article/4981/metadata/,Sciancalepore M
164,-76,61,nan,0.79,-58,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,31,42,NaN,Hippocampus CA3 pyramidal cell,"Stable mossy fiber long-term potentiation requires calcium influx at the granule cell soma, protein synthesis, and microtubule-dependent axonal transport.",2010,http://neuroelectro.org/data_table/1721/,http://neuroelectro.org/article/27590/metadata/,Beck H
307,-58,71,80,1.7,-35,Rats,Wistar,Patch-clamp,in vitro,Not corrected,-10,23,19,NaN,Hippocampus CA3 pyramidal cell,"Electrophysiological characterization of ""giant"" cells in stratum radiatum of the CA3 hippocampal region.",2001,http://neuroelectro.org/data_table/1000/,http://neuroelectro.org/article/28502/metadata/,Sciancalepore M
79.8,-72.6,nan,74.5,nan,-55.5,Rats,Wistar,Sharp,in vitro,,NaN,30,70,425,Hippocampus CA3 pyramidal cell,Permanent reduction of seizure threshold in post-ischemic CA3 pyramidal neurons.,2000,http://neuroelectro.org/data_table/1118/,http://neuroelectro.org/article/34646/metadata/,Crépel V
55.5,-63.8,nan,92.2,0.55,nan,Rats,Wistar,Sharp,in vitro,,NaN,31,53,NaN,Hippocampus CA3 pyramidal cell,Local circuit abnormalities in chronically epileptic rats after intrahippocampal tetanus toxin injection in infancy.,1998,http://neuroelectro.org/data_table/1335/,http://neuroelectro.org/article/34848/metadata/,Swann JW
180,-65,nan,73.9,1.3,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,32,42.5,NaN,Hippocampus CA3 pyramidal cell,Blockade of neuronal activity during hippocampal development produces a chronic focal epilepsy in the rat.,2000,http://neuroelectro.org/data_table/3178/,http://neuroelectro.org/article/37531/metadata/,Swann JW
160.1,nan,37.2,nan,1.18,nan,Mice,C57BL,Patch-clamp,in vitro,Not corrected,NaN,29,21.5,NaN,Hippocampus CA3 pyramidal cell,Differential involvement of oriens/pyramidale interneurones in hippocampal network oscillations in vitro.,2005,http://neuroelectro.org/data_table/10636/,http://neuroelectro.org/article/44738/metadata/,Buhl EH
102,-72,21.1,nan,nan,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,33,3.5,NaN,Hippocampus CA3 pyramidal cell,Heterogeneous populations of cells mediate spontaneous synchronous bursting in the developing hippocampus through a frequency-dependent mechanism.,2000,http://neuroelectro.org/data_table/22053/,http://neuroelectro.org/article/79240/metadata/,Sanchez-Andres JV
595,-57,67,76,1.1,-35,Rats,Wistar,Patch-clamp,in vitro,Not corrected,-10,23,19,NaN,Hippocampus CA3 stratum radiatum giant cell,"Electrophysiological characterization of ""giant"" cells in stratum radiatum of the CA3 hippocampal region.",2001,http://neuroelectro.org/data_table/1000/,http://neuroelectro.org/article/28502/metadata/,Sciancalepore M
167.3,nan,16.9,nan,0.57,nan,Mice,C57BL,Patch-clamp,in vitro,Not corrected,NaN,29,21.5,NaN,Hippocampus CA3 trilaminar neuron,Differential involvement of oriens/pyramidale interneurones in hippocampal network oscillations in vitro.,2005,http://neuroelectro.org/data_table/10636/,http://neuroelectro.org/article/44738/metadata/,Buhl EH
9.3,-67.1,nan,97.3,nan,nan,Rats,Sprague-Dawley,Sharp,in vitro,,NaN,32,31.5,NaN,Hypoglossal nucleus motor neuron,Serotonergic modulation of the hyperpolarizing spike afterpotential in rat jaw-closing motoneurons by PKA and PKC.,1999,http://neuroelectro.org/data_table/1193/,http://neuroelectro.org/article/5592/metadata/,Morimoto T
107.1,-62.4,nan,89.2,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,27,2,NaN,Hypoglossal nucleus motor neuron,"Functional imaging, spatial reconstruction, and biophysical analysis of a respiratory motor circuit isolated in vitro.",2008,http://neuroelectro.org/data_table/2088/,http://neuroelectro.org/article/23807/metadata/,Smith JC
111,-59,nan,69,1.6,-38,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,22,7,NaN,Hypoglossal nucleus motor neuron,Neonatal neuronal circuitry shows hyperexcitable disturbance in a mouse model of the adult-onset neurodegenerative disease amyotrophic lateral sclerosis.,2008,http://neuroelectro.org/data_table/9829/,http://neuroelectro.org/article/30036/metadata/,Bellingham MC
78.6,-53.2,nan,nan,nan,-27.4,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,27,3.58,NaN,Hypoglossal nucleus motor neuron,Developmental nicotine exposure alters neurotransmission and excitability in hypoglossal motoneurons.,2011,http://neuroelectro.org/data_table/105/,http://neuroelectro.org/article/33779/metadata/,Fregosi RF
84.04,-60.05,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,32,15,NaN,Hypoglossal nucleus motor neuron,Excitatory-inhibitory imbalance in hypoglossal neurons during the critical period of postnatal development in the rat.,2011,http://neuroelectro.org/data_table/10906/,http://neuroelectro.org/article/45438/metadata/,Wong-Riley MT
nan,nan,nan,nan,0.96,nan,Rats,Long-Evans,Sharp,in vivo,,NaN,34,54.5,225,Hypothalamus oxytocin neuroendocrine magnocellular cell,Excitatory role of the hyperpolarization-activated inward current in phasic and tonic firing of rat supraoptic neurons.,2000,http://neuroelectro.org/data_table/3158/,http://neuroelectro.org/article/28261/metadata/,Bourque CW
nan,-55.9,nan,60.7,1.7,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,35,60,NaN,Hypothalamus oxytocin neuroendocrine magnocellular cell,Milk ejection burst-like electrical activity evoked in supraoptic oxytocin neurons in slices from lactating rats.,2004,http://neuroelectro.org/data_table/737/,http://neuroelectro.org/article/34321/metadata/,Hatton GI
282.2,-59.03,14.43,50.37,1.17,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,32,10,NaN,Inferior colliculus neuron,Intrinsic membrane properties and synaptic response characteristics of neurons in the rat's external cortex of the inferior colliculus.,2007,http://neuroelectro.org/data_table/26487/,http://neuroelectro.org/article/12955/metadata/,Wu SH
nan,-58.05,nan,58.78,nan,-47.7,Rats,Long-Evans,Sharp,in vitro,,NaN,33.5,25.8,78.2,Inferior colliculus neuron,Identification of cell types in brain slices of the inferior colliculus.,2000,http://neuroelectro.org/data_table/24675/,http://neuroelectro.org/article/23211/metadata/,Oliver DL
321.4,-59.9,23.6,48.1,1.4,-43.9,Rats,Wistar,Patch-clamp,in vitro,Corrected,NaN,31,14.5,NaN,Inferior colliculus neuron,Modification of membrane excitability of neurons in the rat's dorsal cortex of the inferior colliculus by preceding hyperpolarization.,2008,http://neuroelectro.org/data_table/25153/,http://neuroelectro.org/article/26039/metadata/,Wu SH
89,-57.1,nan,nan,nan,-46.8,Mice,C57BL,Patch-clamp,in vivo,,NaN,37,29,NaN,Inferior colliculus neuron,"Comparison of responses of neurons in the mouse inferior colliculus to current injections, tones of different durations, and sinusoidal amplitude-modulated tones.",2007,http://neuroelectro.org/data_table/374/,http://neuroelectro.org/article/27809/metadata/,Borst JG
268.8,-60.7,22.8,51.9,1.18,-43.9,Rats,Wistar,Patch-clamp,in vitro,Corrected,NaN,31,14.5,NaN,Inferior colliculus neuron,Physiological characteristics of postinhibitory rebound depolarization in neurons of the rat's dorsal cortex of the inferior colliculus studied in vitro.,2008,http://neuroelectro.org/data_table/26697/,http://neuroelectro.org/article/85290/metadata/,Wu SH
42,-62,nan,67,0.5,nan,Rats,Wistar,Sharp,in vivo,,NaN,37,31.5,100,Inferior olive neuron,Rhythmic episodes of subthreshold membrane potential oscillations in the rat inferior olive nuclei in vivo.,2007,http://neuroelectro.org/data_table/2211/,http://neuroelectro.org/article/36139/metadata/,Lampl I
69,-50,11.3,103.8,nan,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,32,15.5,NaN,Inferior olive neuron,Rhythmicity without synchrony in the electrically uncoupled inferior olive.,2002,http://neuroelectro.org/data_table/2820/,http://neuroelectro.org/article/37106/metadata/,Connors BW
41.2,-53.5,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vivo,Corrected,NaN,37,60,NaN,Inferior olive neuron,Role of olivary electrical coupling in cerebellar motor learning.,2008,http://neuroelectro.org/data_table/23000/,http://neuroelectro.org/article/80440/metadata/,De Zeeuw CI
