Neuron name,Restrictive neuron use list,Less restrictive,Brain regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cochlear nucleus (dorsal) pyramidal neuron,1,1,Dorsal cochlear nucleus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neocortex layer 4 stellate cell,0,1,"Primary somatosensory area, layer 4","Primary somatosensory area, nose, layer 4","Primary somatosensory area, barrel field, layer 4","Primary somatosensory area, lower limb, layer 4","Primary somatosensory area, mouth, layer 4","Primary somatosensory area, upper limb, layer 4","Primary somatosensory area, trunk, layer 4","Supplemental somatosensory area, layer 4","Gustatory areas, layer 4","Visceral area, layer 4","Dorsal auditory area, layer 4","Primary auditory area, layer 4","Posterior auditory area, layer 4","Ventral auditory area, layer 4","Anterolateral visual area, layer 4","Anteromedial visual area, layer 4","Lateral visual area, layer 4","Primary visual area, layer 4","Posterolateral visual area, layer 4","posteromedial visual area, layer 4","Posterior parietal association areas, layer 4","Temporal association areas, layer 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinal cord intermediate horn motor neuron sympathetic,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neocortex pyramidal cell layer 2-3,0,1,"Frontal pole, layer 2/3","Primary motor area, Layer 2/3","Secondary motor area, layer 2/3","Primary somatosensory area, layer 2/3","Primary somatosensory area, nose, layer 2/3","Primary somatosensory area, barrel field, layer 2/3","Primary somatosensory area, lower limb, layer 2/3","Primary somatosensory area, mouth, layer 2/3","Primary somatosensory area, upper limb, layer 2/3","Primary somatosensory area, trunk, layer 2/3","Supplemental somatosensory area, layer 2/3","Infralimbic area, layer 2/3","Gustatory areas, layer 2/3","Visceral area, layer 2/3","Dorsal auditory area, layer 2/3","Primary auditory area, layer 2/3","Posterior auditory area, layer 2/3","Ventral auditory area, layer 2/3","Anterolateral visual area, layer 2/3","Anteromedial visual area, layer 2/3","Lateral visual area, layer 2/3","Primary visual area, layer 2/3","Posterolateral visual area, layer 2/3","posteromedial visual area, layer 2/3","Anterior cingulate area, dorsal part, layer 2/3","Anterior cingulate area, ventral part, layer 2/3","Prelimbic area, layer 2/3","Orbital area, lateral part, layer 2/3","Orbital area, medial part, layer 2/3","Orbital area, ventrolateral part, layer 2/3","Agranular insular area, dorsal part, layer 2/3","Agranular insular area, posterior part, layer 2/3","Agranular insular area, ventral part, layer 2/3","Retrosplenial area, lateral agranular part, layer 2/3","Retrosplenial area, dorsal part, layer 2/3","Retrosplenial area, ventral part, layer 2/3","Posterior parietal association areas, layer 2/3","Temporal association areas, layer 2/3","Perirhinal area, layer 2/3",Ectorhinal area/Layer 2/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Substantia nigra pars compacta dopaminergic cell,1,1,"Substantia nigra, compact part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventral tegmental area dopamine neuron,1,1,Ventral tegmental area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neocortex pyramidal cell,0,0,Isocortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entorhinal cortex layer IV neuron,1,1,"Entorhinal area, medial part, dorsal zone, layer 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalamus relay cell,1,1,Thalamus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subiculum pyramidal cell,1,1,Subiculum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nucleus accumbens shell neuron,1,1,Nucleus accumbens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olfactory cortex semilunar cell,0,1,"Piriform area, pyramidal layer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olfactory cortex pyramidal cell,0,1,"Piriform area, pyramidal layer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippocampus CA1 neurogliaform cell,0,0,"Field CA1, stratum lacunosum-moleculare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neostriatum cholinergic cell,0,0,Caudoputamen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippocampus CA1 basket cell,0,0,"Field CA1, stratum radiatum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippocampus CA1 oriens lacunosum moleculare neuron,0,1,"Field CA1, stratum lacunosum-moleculare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inferior olive neuron,0,0,Inferior olivary complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neocortex bipolar neuron,0,0,Isocortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nucleus accumbens medium spiny neuron,1,1,Nucleus accumbens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerebellum Purkinje cell,0,0,Cerebellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
